"Name","test_exact_match","test_f1","Runtime","Notes","State","Tags","eval/loss","eval/runtime","eval/samples_per_second","eval/steps_per_second","test_tydiqa_exact_match","test_tydiqa_f1","test_xquad_exact_match","test_xquad_f1","train/epoch","train/global_step","train/learning_rate","train/loss","train/total_flos","train/train_loss","train/train_runtime","train/train_samples_per_second","train/train_steps_per_second","val_exact_match","val_f1"
"th_qcpg_0.5_aug_0.3","34.24513413992636","50.47848626184959","3134","-","finished","slem","1.9491312503814695","7.4779","301.69","2.407","35.684280344903826","52.19724400033457","28.728813559322035","43.89040045577674","19.95","3660","6.147540983606558e-8","0.3255","49661424674399620","1.2099797983638576","2832.3631","82.807","1.292","47.29609929078014","59.77780148521322"
"th_qcpg_0.5_aug_0.2","37.576714010170086","51.50517938812207","2922","-","finished","slem","1.999475121498108","7.4657","302.182","2.411","39.37652000884369","53.4715240950399","30.677966101694917","43.96808014287815","19.94","3380","5.91715976331361e-8","0.3179","45832741284230780","1.1992833651029149","2625.8708","82.449","1.287","48.40425531914894","60.34234284957845"
"th_qcpg_0.5_aug_0.1","39.049623005435734","53.07671103798507","2727","-","finished","slem","1.7428609132766724","7.4605","302.393","2.413","41.233694450585894","54.9664028858415","30.677966101694917","45.8334260991264","19.94","3100","6.451612903225807e-8","0.3427","42004057894061950","1.2440943108835527","2432.5995","81.584","1.274","48.8918439716312","61.211973858837155"
"th_qcpg_0.2_llm_gec_aug_1.0","40.8907592495178","54.3197281662756","4541","-","finished","slem","2.1356587409973145","7.4904","301.185","2.403","42.58235684280345","55.98751575444813","34.40677966101695","47.92701353805281","20","5640","5.3191489361702137e-8","0.4153","76607636381752320","1.2832537928371566","4205.5696","85.801","1.341","48.8918439716312","60.8554433589634"
"th_qcpg_0.2_llm_gec_aug_0.9","39.52305803962827","53.29934102906591","4348","-","finished","slem","2.0607638359069824","7.4782","301.676","2.407","41.25580367013045","54.84698911625049","32.88135593220339","47.36712721691826","20","5360","5.597014925373134e-8","0.91","72777679169894400","1.486171525983668","4020.8111","85.256","1.333","49.33510638297872","60.6571820440719"
"th_qcpg_0.2_llm_gec_aug_0.8","37.7695949500263","52.37842848038735","4161","-","finished","slem","1.93337881565094","7.4727","301.9","2.409","39.37652000884369","53.96253255560058","31.610169491525426","46.30647701243156","20","5080","5.905511811023622e-8","0.6294","68947721958036480","1.4086616005484514","3821.2952","84.987","1.329","49.423758865248224","61.09266617734236"
"th_qcpg_0.2_llm_gec_aug_0.7","41.04857092758198","54.01391677419221","4045","-","finished","slem","1.764070987701416","7.5593","298.439","2.381","42.93610435551625","55.73517414563985","33.813559322033896","47.416249747873294","20","4800","6.250000000000001e-8","0.781","65117764746178560","1.4432452774047853","3682.8439","83.283","1.303","50.576241134751776","61.82605415924414"
"th_qcpg_0.2_llm_gec_aug_0.6","38.926880589163595","52.71105114414339","3818","-","finished","slem","1.7714074850082395","7.5207","299.97","2.393","40.99049303559585","54.69655393555921","31.016949152542377","45.100517986878664","20","4520","6.084070796460177e-8","0.7095","61287807534320640","1.4940816727359738","3465.2472","83.307","1.304","49.24645390070922","60.75027402428845"
"th_qcpg_0.2_llm_gec_aug_0.5","39.64580045590041","53.71819953854238","3696","-","finished","slem","1.8258390426635744","7.5188","300.047","2.394","41.47689586557595","55.42456990357683","32.6271186440678","47.17759516477182","19.95","4220","5.924170616113744e-8","0.383","57318791454737280","1.2697422425328837","3325.7638","81.371","1.269","50.84219858156028","62.42693194547082"
"th_qcpg_0.2_llm_gec_aug_0.4","38.646326494827285","53.50384149990695","3431","-","finished","slem","1.820062518119812","7.5003","300.789","2.4","40.39354410789299","55.36852379660772","31.94915254237288","46.356419442299966","19.95","3940","5.7106598984771576e-8","0.4461","53490108064568450","1.3496759037075914","3066.2921","82.373","1.285","50.044326241134755","61.48018237759323"
"th_qcpg_0.2_llm_gec_aug_0.3","39.27757320708399","53.24961344867341","3204","-","finished","slem","1.900630474090576","7.4982","300.872","2.401","41.01260225514039","54.96079913146568","32.6271186440678","46.69055171709053","19.95","3660","6.830601092896176e-8","0.3886","49661424674399620","1.280872174038913","2873.8071","81.613","1.274","49.11347517730496","60.88196498515785"
"th_qcpg_0.2_llm_gec_aug_0.2","39.014553743643695","52.59230946543234","2954","-","finished","slem","1.7785505056381226","7.4904","301.187","2.403","40.63674552288304","54.35250692963899","32.79661016949152","45.84538308356333","19.94","3380","5.91715976331361e-8","0.3601","45832741284230780","1.2055821683985242","2650.4268","81.685","1.275","49.33510638297872","61.248994437746056"
"th_qcpg_0.2_llm_gec_aug_0.1","39.15483079081185","53.838641918033275","2763","-","finished","slem","1.773404240608215","7.503","300.68","2.399","40.79151005969489","55.62846530340316","32.88135593220339","46.9781578739429","19.94","3100","6.451612903225807e-8","0.3558","42004057894061950","1.1878304610713837","2452.5716","80.919","1.264","51.41843971631206","62.734975238666735"
"th_qcpg_0.2_aug_1.0","39.470454146940206","53.22623450425681","4635","-","finished","slem","2.025949478149414","7.5052","300.59","2.398","41.38845898739775","55.02011881749592","32.11864406779661","46.35018471715619","20","5640","4.875886524822696e-8","0.4191","76607636381752320","1.2962586599038848","4289.0654","84.13","1.315","50.487588652482266","61.91011976857569"
"th_qcpg_0.2_aug_0.9","37.99754515167456","52.76492065316871","4415","-","finished","slem","2.084124803543091","7.4757","301.779","2.408","39.68604908246739","54.39774446630545","31.52542372881356","46.50622395247732","20","5360","3.7313432835820895e-8","0.3324","72777679169894400","1.2100424581499245","4062.9567","84.372","1.319","50.265957446808514","61.71216772554386"
"th_qcpg_0.2_aug_0.8","38.59372260213922","52.78477216398424","4294","-","finished","slem","2.0577099323272705","7.5064","300.545","2.398","40.41565332743754","54.45435586050991","31.610169491525426","46.38517296111621","20","5080","3.9370078740157486e-8","0.3395","68947721958036480","1.2080575086939054","3936.7442","82.495","1.29","50.88652482269504","62.222901465509466"
